trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9559974818331}",20,6,-64.19656193011424,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.1, 'e': 0.9139311852712282}",30,0,-138.80202248312253,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.8737159116880344}",25,0,-96.69584519120417,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.835270211411272}",20,2,-64.93582466570555,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.1, 'e': 0.798516218759377}",30,0,-88.03098737500648,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.7633794943368533}",20,0,-52.9842488404917,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.7297888742690567}",35,0,-219.94798775467052,"{0: 19, 1: 3, 2: 10, 3: 0, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.6976763260710311}",20,0,-20.278695481548507,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.6669768108584744}",30,0,-148.73762005192677,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 4}",0
10,False,"{'a': 0.1, 'e': 0.6376281516217733}",20,0,-39.48828597935758,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.6095709072963094}",20,0,-27.087711407030064,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.5827482523739896}",30,7,-55.64787849579753,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.1, 'e': 0.5571058618121739}",20,0,-57.49614560129884,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.5325918010068972}",25,0,-92.03961955951185,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.5091564206075492}",20,5,-47.847090751513086,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.1, 'e': 0.4867522559599717}",35,0,-169.25658715273846,"{0: 25, 1: 3, 2: 3, 3: 0, 4: 4}",0
17,False,"{'a': 0.1, 'e': 0.46533393097431336}",20,0,-47.07404861164956,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.44485806622294116}",20,5,-57.38593216098202,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.1, 'e': 0.4252831910822741}",35,0,-25.502405422014554,"{0: 28, 1: 3, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.40656965974059917}",20,10,15.000611681716425,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.1, 'e': 0.38867957090175304}",30,16,21.863323942962115,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.3715766910220457}",25,0,-31.49297732106048,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.35522638092495157}",25,9,20.487129698683876,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.3395955256449391}",25,10,-15.013949245917592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.1, 'e': 0.32465246735834974}",30,9,2.8486340751526282,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.1, 'e': 0.31036694126548503}",25,17,12.495104759038451,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.2967100142940453}",20,15,8.017782622974975,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.28365402649977034}",20,0,-14.70399987523129,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
