trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
"1,False,""{'a': 0.3, 'e': 0.9607894391523232}"",25,0,-141.92192524562654,""{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}"",0"
"2,False,""{'a': 0.3, 'e': 0.9231163463866358}"",20,0,-70.75746445662766,""{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}"",0"
"3,False,""{'a': 0.3, 'e': 0.8869204367171575}"",25,0,-263.54718987148595,""{0: 10, 1: 3, 2: 6, 3: 2, 4: 4}"",0"
"4,False,""{'a': 0.3, 'e': 0.8521437889662113}"",25,0,-250.35624566576678,""{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}"",0"
"5,False,""{'a': 0.3, 'e': 0.8187307530779818}"",25,0,-29.84215127090684,""{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}"",0"
"6,False,""{'a': 0.3, 'e': 0.7866278610665534}"",30,16,-60.33269105694375,""{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}"",1"
"7,False,""{'a': 0.3, 'e': 0.7557837414557255}"",30,11,-90.37193929033717,""{0: 12, 1: 3, 2: 1, 3: 2, 4: 1}"",1"
"8,False,""{'a': 0.3, 'e': 0.7261490370736908}"",30,0,-50.80037575290267,""{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}"",0"
"9,False,""{'a': 0.3, 'e': 0.6976763260710311}"",25,18,12.606385307833637,""{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"10,False,""{'a': 0.3, 'e': 0.6703200460356393}"",25,3,-57.10656408716263,""{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}"",1"
"11,False,""{'a': 0.3, 'e': 0.6440364210831414}"",20,0,-19.460717293003803,""{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}"",0"
"12,False,""{'a': 0.3, 'e': 0.6187833918061408}"",20,0,-38.30524557358053,""{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}"",0"
"13,False,""{'a': 0.3, 'e': 0.5945205479701943}"",25,1,-47.11497677019365,""{0: 16, 1: 3, 2: 5, 3: 0, 4: 0}"",1"
"14,False,""{'a': 0.3, 'e': 0.5712090638488149}"",20,3,-29.313321695607637,""{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}"",1"
"15,False,""{'a': 0.3, 'e': 0.5488116360940265}"",30,0,1.5369357467222633,""{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}"",1"
"16,False,""{'a': 0.3, 'e': 0.5272924240430485}"",20,11,9.76003248224572,""{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}"",1"
"17,False,""{'a': 0.3, 'e': 0.5066169923655895}"",25,0,-79.6531842062794,""{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}"",0"
"18,False,""{'a': 0.3, 'e': 0.4867522559599717}"",20,16,6.4496081788437225,""{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"19,False,""{'a': 0.3, 'e': 0.4676664270099093}"",30,3,-2.6578117796852094,""{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}"",1"
"20,False,""{'a': 0.3, 'e': 0.44932896411722156}"",25,0,-23.650252987080833,""{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}"",0"
"21,False,""{'a': 0.3, 'e': 0.43171052342907973}"",30,0,-90.47264531683868,""{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}"",0"
"22,False,""{'a': 0.3, 'e': 0.4147829116815814}"",30,14,3.6069957384513254,""{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}"",1"
"23,False,""{'a': 0.3, 'e': 0.39851904108451414}"",25,5,12.782535808242804,""{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}"",1"
"24,False,""{'a': 0.3, 'e': 0.382892885975112}"",25,0,-12.710928576432831,""{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}"",0"
"25,False,""{'a': 0.3, 'e': 0.36787944117144233}"",20,12,14.994437939706495,""{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"26,False,""{'a': 0.3, 'e': 0.3534546819587801}"",25,2,14.102145244449822,""{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}"",1"
"27,False,""{'a': 0.3, 'e': 0.3395955256449391}"",20,5,14.776933882711257,""{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"28,False,""{'a': 0.3, 'e': 0.32627979462303947}"",20,0,16.056560639471286,""{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}"",0"
"29,False,""{'a': 0.3, 'e': 0.3134861808826053}"",30,12,27.29236752245205,""{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"30,False,""{'a': 0.3, 'e': 0.30119421191220214}"",25,11,9.620809285200979,""{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"31,False,""{'a': 0.3, 'e': 0.28938421793905067}"",20,10,16.98233484200488,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"32,False,""{'a': 0.3, 'e': 0.27803730045319414}"",20,11,5.881676352947586,""{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"33,False,""{'a': 0.3, 'e': 0.26713530196585034}"",20,0,17.700771031584743,""{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}"",0"
"34,False,""{'a': 0.3, 'e': 0.2566607769535559}"",30,0,-73.83468953147762,""{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}"",0"
"35,False,""{'a': 0.3, 'e': 0.24659696394160643}"",30,14,-13.961119181171942,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}"",1"
"36,False,""{'a': 0.3, 'e': 0.2369277586821218}"",30,12,33.641868707465306,""{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"37,False,""{'a': 0.3, 'e': 0.2276376883838127}"",20,12,-26.016304726885515,""{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}"",1"
"38,False,""{'a': 0.3, 'e': 0.21871188695221477}"",30,18,23.27160991858595,""{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
